Texto,Precio_Kg,Precio_Lt
19 Chiapas La Concordia ,19.51,10.54
19 Chiapas Mezcalapa ,19.51,10.54
19 Chiapas Montecristo de Guerrero ,19.51,10.54
19 Chiapas Nicolás Ruíz ,19.51,10.54
19 Chiapas Ocozocoautla de Espinosa ,19.51,10.54
19 Chiapas Osumacinta ,19.51,10.54
19 Chiapas San Fernando ,19.51,10.54
19 Chiapas San Lucas ,19.51,10.54
19 Chiapas Soyaló ,19.51,10.54
19 Chiapas Suchiapa ,19.51,10.54
19 Chiapas Tecpatán ,19.51,10.54
19 Chiapas Totolapa ,19.51,10.54
19 Chiapas Tuxtla Gutiérrez ,19.51,10.54
19 Chiapas Venustiano Carranza ,19.51,10.54
19 Chiapas Villa Corzo ,19.51,10.54
19 Chiapas Villaflores ,19.51,10.54
20 Chihuahua Camargo ,19.07,10.30
20 Chihuahua La Cruz ,19.07,10.30
20 Chihuahua San Francisco de Conchos ,19.07,10.30
21 Chihuahua Aldama ,18.91,10.21
21 Chihuahua Aquiles Serdán ,18.91,10.21
21 Chihuahua Chihuahua ,18.91,10.21
21 Chihuahua Delicias ,18.91,10.21
21 Chihuahua Rosales ,18.91,10.21
21 Chihuahua Santa Isabel ,18.91,10.21
21 Chihuahua Satevó ,18.91,10.21
22 Chihuahua Bachíniva ,18.99,10.25
22 Chihuahua Bocoyna ,18.99,10.25
22 Chihuahua Carichí ,18.99,10.25
22 Chihuahua Chínipas ,18.99,10.25
22 Chihuahua Cuauhtémoc ,18.99,10.25
22 Chihuahua Cusihuiriachi ,18.99,10.25
22 Chihuahua Dr. Belisario Domínguez ,18.99,10.25
22 Chihuahua Gran Morelos ,18.99,10.25
22 Chihuahua Guazapares ,18.99,10.25
22 Chihuahua Guerrero ,18.99,10.25
22 Chihuahua Maguarichi ,18.99,10.25
22 Chihuahua Moris ,18.99,10.25
22 Chihuahua Ocampo ,18.99,10.25
22 Chihuahua San Francisco de Borja ,18.99,10.25
22 Chihuahua Urique ,18.99,10.25
22 Chihuahua Uruachi ,18.99,10.25
23 Chihuahua Batopilas de Manuel Gómez Morín ,18.82,10.16
23 Chihuahua Guachochi ,18.82,10.16
23 Chihuahua Guadalupe y Calvo ,18.82,10.16
23 Chihuahua Morelos ,18.82,10.16
23 Chihuahua Nonoava ,18.82,10.16
24 Chihuahua Allende ,19.09,10.31
24 Chihuahua Balleza ,19.09,10.31
24 Chihuahua Coronado ,19.09,10.31
24 Chihuahua El Tule ,19.09,10.31
24 Chihuahua Hidalgo del Parral ,19.09,10.31
24 Chihuahua Huejotitán ,19.09,10.31
24 Chihuahua Matamoros ,19.09,10.31
24 Chihuahua Rosario ,19.09,10.31
24 Chihuahua San Francisco del Oro ,19.09,10.31
24 Chihuahua Santa Bárbara ,19.09,10.31
24 Chihuahua Valle de Zaragoza ,19.09,10.31
25 Chihuahua Jiménez ,18.79,10.15
25 Chihuahua López ,18.79,10.15
26 Chihuahua Juárez ,16.70,9.02
26 Chihuahua Ahumada ,17.94,9.69
26 Chihuahua Buenaventura ,17.94,9.69
27 Chihuahua Madera ,19.76,10.67
27 Chihuahua Matachí ,19.76,10.67
27 Chihuahua Temósachic ,19.76,10.67
28 Chihuahua Julimes ,18.57,10.03
28 Chihuahua Meoqui ,18.57,10.03
28 Chihuahua Saucillo ,18.57,10.03
29 Chihuahua Gómez Farías ,19.34,10.44
29 Chihuahua Ignacio Zaragoza ,19.34,10.44
29 Chihuahua Namiquipa ,19.34,10.44
29 Chihuahua Riva Palacio ,19.34,10.44
30 Chihuahua Ascensión ,17.14,9.26
30 Chihuahua Janos ,17.14,9.26
30 Chihuahua Casas Grandes ,18.41,9.94
30 Chihuahua Galeana ,18.41,9.94
30 Chihuahua Nuevo Casas Grandes ,18.41,9.94
30 Sonora Bacadéhuachi ,18.41,9.94
30 Sonora Nácori Chico ,18.41,9.94
31 Chihuahua Coyame del Sotol ,17.52,9.46
31 Chihuahua Guadalupe ,17.52,9.46
31 Chihuahua Manuel Benavides ,17.52,9.46
31 Chihuahua Ojinaga ,17.52,9.46
31 Chihuahua Praxedis G. Guerrero ,17.52,9.46
32 Ciudad de México Álvaro Obregón ,18.64,10.06
32 Ciudad de México Azcapotzalco ,18.64,10.06
32 Ciudad de México Benito Juárez ,18.64,10.06
32 Ciudad de México Coyoacán ,18.64,10.06
32 Ciudad de México Cuajimalpa de Morelos ,18.64,10.06
32 Ciudad de México Cuauhtémoc ,18.64,10.06
32 Ciudad de México Gustavo A. Madero ,18.64,10.06
32 Ciudad de México Iztacalco ,18.64,10.06
32 Ciudad de México Iztapalapa ,18.64,10.06
32 Ciudad de México La Magdalena Contreras ,18.64,10.06
32 Ciudad de México Miguel Hidalgo ,18.64,10.06
32 Ciudad de México Milpa Alta ,18.64,10.06
32 Ciudad de México Tláhuac ,18.64,10.06
32 Ciudad de México Tlalpan ,18.64,10.06
32 Ciudad de México Venustiano Carranza ,18.64,10.06
32 Ciudad de México Xochimilco ,18.64,10.06
32 Hidalgo Tizayuca ,18.64,10.06
32 México Acolman ,18.64,10.06
32 México Amecameca ,18.64,10.06
32 México Apaxco ,18.64,10.06
32 México Atenco ,18.64,10.06
32 México Atizapán de Zaragoza ,18.64,10.06
32 México Atlautla ,18.64,10.06
32 México Chalco ,18.64,10.06
32 México Chiautla ,18.64,10.06
32 México Chicoloapan ,18.64,10.06
32 México Chiconcuac ,18.64,10.06
32 México Chimalhuacán ,18.64,10.06
32 México Coacalco de Berriozábal ,18.64,10.06
32 México Cocotitlán ,18.64,10.06
32 México Cuautitlán ,18.64,10.06
32 México Cuautitlán Izcalli ,18.64,10.06
32 México Ecatepec de Morelos ,18.64,10.06
32 México Ecatzingo ,18.64,10.06
32 México Hueypoxtla ,18.64,10.06
32 México Huixquilucan ,18.64,10.06
32 México Ixtapaluca ,18.64,10.06
32 México Juchitepec ,18.64,10.06
32 México La Paz ,18.64,10.06
32 México Melchor Ocampo ,18.64,10.06
32 México Naucalpan de Juárez ,18.64,10.06
32 México Nextlalpan ,18.64,10.06
32 México Nezahualcóyotl ,18.64,10.06
32 México Otumba ,18.64,10.06
32 México Ozumba ,18.64,10.06
32 México Papalotla ,18.64,10.06
32 México San Martín de las Pirámides ,18.64,10.06
32 México Temamatla ,18.64,10.06
32 México Tepetlaoxtoc ,18.64,10.06
32 México Tepetlixpa ,18.64,10.06
32 México Tepotzotlán ,18.64,10.06
32 México Tequixquiac ,18.64,10.06
32 México Texcoco ,18.64,10.06
32 México Tezoyuca ,18.64,10.06
32 México Tlalmanalco ,18.64,10.06
32 México Tlalnepantla de Baz ,18.64,10.06
32 México Tultepec ,18.64,10.06
32 México Tultitlán ,18.64,10.06
32 México Valle de Chalco Solidaridad ,18.64,10.06
32 México Zumpango ,18.64,10.06
33 Coahuila de Zaragoza Acuña ,17.51,9.46
34 Coahuila de Zaragoza Ocampo ,17.96,9.70
34 Coahuila de Zaragoza Castaños ,19.29,10.42
34 Coahuila de Zaragoza Cuatro Ciénegas ,19.29,10.42
34 Coahuila de Zaragoza Lamadrid ,19.29,10.42
34 Coahuila de Zaragoza Sacramento ,19.29,10.42
34 Coahuila de Zaragoza Sierra Mojada ,19.29,10.42
35 Coahuila de Zaragoza Abasolo ,18.41,9.94
35 Coahuila de Zaragoza Escobedo ,18.41,9.94
36 Coahuila de Zaragoza Francisco I. Madero ,18.77,10.14
37 Coahuila de Zaragoza Guerrero ,16.52,8.92
37 Coahuila de Zaragoza Hidalgo ,16.52,8.92
38 Coahuila de Zaragoza Candela ,18.28,9.87
38 Coahuila de Zaragoza Frontera ,18.28,9.87
38 Coahuila de Zaragoza Monclova ,18.28,9.87
38 Coahuila de Zaragoza Nadadores ,18.28,9.87
38 Coahuila de Zaragoza San Buenaventura ,18.28,9.87
39 Coahuila de Zaragoza Juárez ,17.89,9.66
39 Coahuila de Zaragoza Múzquiz ,17.89,9.66
39 Coahuila de Zaragoza Progreso ,17.89,9.66
39 Coahuila de Zaragoza Sabinas ,17.89,9.66
39 Coahuila de Zaragoza San Juan de Sabinas ,17.89,9.66
40 Coahuila de Zaragoza Parras ,18.61,10.05
41 Coahuila de Zaragoza Jiménez ,16.33,8.82
41 Coahuila de Zaragoza Nava ,16.33,8.82
41 Coahuila de Zaragoza Piedras Negras ,16.33,8.82
41 Coahuila de Zaragoza Zaragoza ,16.33,8.82
41 Coahuila de Zaragoza Allende ,17.54,9.47
41 Coahuila de Zaragoza Morelos ,17.54,9.47
41 Coahuila de Zaragoza Villa Unión ,17.54,9.47
42 Coahuila de Zaragoza Arteaga ,19.23,10.38
42 Coahuila de Zaragoza General Cepeda ,19.23,10.38
42 Coahuila de Zaragoza Ramos Arizpe ,19.23,10.38
42 Coahuila de Zaragoza Saltillo ,19.23,10.38
43 Coahuila de Zaragoza San Pedro ,19.78,10.68
44 Coahuila de Zaragoza Matamoros ,18.90,10.21
44 Coahuila de Zaragoza Torreón ,18.90,10.21
44 Coahuila de Zaragoza Viesca ,18.90,10.21
44 Durango Gómez Palacio ,18.90,10.21
44 Durango Lerdo ,18.90,10.21
45 Colima Armería ,18.56,10.02
45 Colima Colima ,18.56,10.02
45 Colima Comala ,18.56,10.02
45 Colima Coquimatlán ,18.56,10.02
